Iteration,bazel abiChange,Gradle 8.2.1 abiChange with CC,bazel nonAbiChange,Gradle 8.2.1 nonAbiChange with CC
1,43355.58,5804.03,1792.58,951.89
2,44619.28,5510.21,1643.3,1045.85
3,42890.31,5629.06,1898.06,986.95
4,42490.21,5587.25,1678.53,1029.74
5,43382.56,5493.75,1642.89,1057.2
6,42422.43,5347.11,1631.32,985.81
7,42460.71,5651.22,1530.8,928.87
8,44068.78,5606.13,1512.17,968.81
9,43104.79,5633.76,1644.47,981.25
10,42766.66,5520.74,1683.55,970.91
