Iteration,Gradle 8.3-rc-1 abiChange,Gradle 8.3-rc-1 abiChange with CC,Gradle 8.3-rc-1 nonAbiChange,Gradle 8.3-rc-1 nonAbiChange with CC
1,5777.5,4305.54,2112.76,524.64
2,5749.84,4244.98,2122.46,521.81
3,5708.44,4250.72,2083.26,496.68
4,5692.97,4292.29,2026.0,490.1
5,5691.77,4240.47,2023.86,493.55
6,5697.53,4320.15,2014.25,483.95
7,5674.57,4272.66,1989.8,455.97
8,5608.07,4249.93,1980.54,440.34
9,5599.73,4250.84,1975.24,449.07
10,5622.24,4229.37,1967.24,460.99
