Iteration,bazel abiChange,Gradle 8.3-rc-1 abiChange with CC,bazel nonAbiChange,Gradle 8.3-rc-1 nonAbiChange with CC
1,43355.58,4286.23,1792.58,647.91
2,44619.28,4366.78,1643.3,590.99
3,42890.31,4763.13,1898.06,739.18
4,42490.21,4258.09,1678.53,607.16
5,43382.56,4222.22,1642.89,545.81
6,42422.43,4229.79,1631.32,519.56
7,42460.71,4295.04,1530.8,711.45
8,44068.78,4341.82,1512.17,557.06
9,43104.79,4230.71,1644.47,533.2
10,42766.66,4384.98,1683.55,530.1
