Iteration,Gradle 8.3-rc-1 abiChange,Gradle 8.3-rc-1 abiChange with CC,Gradle 8.3-rc-1 nonAbiChange,Gradle 8.3-rc-1 nonAbiChange with CC
1,6390.12,4286.23,2903.09,647.91
2,6469.94,4366.78,2345.41,590.99
3,5917.39,4763.13,2459.47,739.18
4,5952.88,4258.09,2324.67,607.16
5,5839.51,4222.22,2387.63,545.81
6,5900.33,4229.79,2378.35,519.56
7,5858.08,4295.04,2320.12,711.45
8,5880.24,4341.82,2290.27,557.06
9,5971.82,4230.71,2406.62,533.2
10,5841.02,4384.98,2342.01,530.1
