Iteration,bazel abiChange,Gradle 8.3-rc-1 abiChange,bazel nonAbiChange,Gradle 8.3-rc-1 nonAbiChange
1,244086.63,5777.5,1856.74,2112.76
2,246103.41,5749.84,1871.67,2122.46
3,232333.31,5708.44,1907.53,2083.26
4,227612.2,5692.97,1877.34,2026.0
5,228402.72,5691.77,1818.54,2023.86
6,230046.02,5697.53,1824.69,2014.25
7,231517.2,5674.57,1926.0,1989.8
8,269184.96,5608.07,1884.35,1980.54
9,230968.02,5599.73,1807.88,1975.24
10,230491.71,5622.24,1773.22,1967.24
