Iteration,Gradle 8.2.1 abiChange,Gradle 8.2.1 abiChange with CC,Gradle 8.2.1 nonAbiChange,Gradle 8.2.1 nonAbiChange with CC
1,7196.0,5804.03,2664.24,951.89
2,7234.67,5510.21,2505.4,1045.85
3,7343.8,5629.06,2966.69,986.95
4,7224.24,5587.25,2491.71,1029.74
5,7394.05,5493.75,2430.73,1057.2
6,7369.74,5347.11,2559.98,985.81
7,7631.77,5651.22,2516.01,928.87
8,7483.45,5606.13,2513.34,968.81
9,7617.78,5633.76,2478.64,981.25
10,7711.97,5520.74,2480.23,970.91
