Iteration,bazel abiChange,Gradle 8.2.1 abiChange,bazel nonAbiChange,Gradle 8.2.1 nonAbiChange
1,43355.58,7196.0,1792.58,2664.24
2,44619.28,7234.67,1643.3,2505.4
3,42890.31,7343.8,1898.06,2966.69
4,42490.21,7224.24,1678.53,2491.71
5,43382.56,7394.05,1642.89,2430.73
6,42422.43,7369.74,1631.32,2559.98
7,42460.71,7631.77,1530.8,2516.01
8,44068.78,7483.45,1512.17,2513.34
9,43104.79,7617.78,1644.47,2478.64
10,42766.66,7711.97,1683.55,2480.23
